(services),"(price, what the client pays in mxn)",(lab test instructions),
HORMONA DE CRECIMIENTO A LOS 90 MIN.,282.00,"AYUNO DE 10 HORAS, NO HABER REALIZADO ACTIVIDAD FÍSICA 48 HORAS PREVIAS AL ESTUDIO",
HORMONA DE CRECIMIENTO BASAL,282.00,"AYUNO DE 10 HORAS, NO HABER REALIZADO ACTIVIDAD FÍSICA 48 HORAS PREVIAS AL ESTUDIO",
HORMONA ESTIMULANTE DE TIROIDES (TSH),353.00,AYUNO MINIMO DE 8 HRS ,
HORMONA ESTIMULANTE DE TIROIDES NEONATAL,187.00,AYUNO DE 2 A 4 HORAS,
HORMONA FOLÍCULO ESTIMULANTE (FSH),412.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
HORMONA LIBERADORA DE GONADOTROPINA (GnRH),0.00,,
HORMONA LUTEINIZANTE (LH),388.00,AYUNO MINIMO 8 HRS MAXIMO 12.,
HORMONA PARATIROIDEA (PARATHORMONA/PTH-Intacta),690.00,AYUNO DE 8 HORAS,
IDENTIFICACION DE MYCOPLASMA SP Y UREAPLASMA SP,"1,086.00","aseo general o de genitales externos con agua y jabón. abstinencia sexual durante las 24 horas previas a la obtención de la muestra. no utilizar medicamentos locales, óvulos ni ducha vaginal el día que se va a realizar el análisis y no debe estar menstruando. en caso de varones presentarse con aseo de genitales con agua y jabón y sin haber orinado (de no ser posible esto último, esperar al menos una hora después de la última micción).",
IMPRESIÓN 2 ,71.00,,
IMPRESION 2 RADIOGRAFIAS,804.00,,
IMPRESION DE RADIOGRAFIA,500.00,IMPRESION DE RADIOGRAFIA EN FORMATO FISICO. ,
IMPRESION USG,20.00,,
IMPRESION USG,20.00,,
INDICE DE TIROXINA LIBRE (ITL),306.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
INFLUENZA TIPO A,508.00,,
INFLUENZA TIPO B,508.00,,
INHIBIDOR DE ESTERASA DE C1,0.00,,
INHIBIDOR DE FACTOR DE COAGULACIÓN IX,766.00,AYUNO DE 4 HORAS,
INHIBIDOR DEL FACTOR DE COAGULACIÓN VIII,766.00,AYUNO MÍNIMO DE 4 HORAS.,
INHIBINA A,"1,519.00",AYUNO MINIMO DE 8 HRS MAXIMO 12.,
INMUNOGLOBULINA A,318.00,AYUNO MÍNIMO DE 8 HRS .,
INMUNOGLOBULINA D,309.00,AYUNO MÍNIMO DE 8 HRS MAXIMO 12.,
INMUNOGLOBULINA E,325.00,AYUNO MÍNIMO DE 8 HRS.,
INMUNOGLOBULINA G,187.00,AYUNO MINIMO DE 8 HRS ,
INMUNOGLOBULINA M,270.00,AYUNO  MINIMO DE 8 HRS.,
INR,0.00,,
INSOENZIMAS DE DESHIDROGENASA LÁCTICA (LDH),"1,289.00",,
INSULINA A LOS 120 MIN,293.97,AYUNO DE 8 HORAS,
INSULINA A LOS 180 MIN,293.97,AYUNO DE 8 HORAS,
INSULINA A LOS 240 MIN,293.97,AYUNO DE 8 HORAS,
INSULINA A LOS 30 MIN,293.97,AYUNO DE 8 HORAS,
INSULINA A LOS 300 MIN,293.97,AYUNO DE 8 HORAS,
INSULINA A LOS 60 MIN,293.97,AYUNO DE 8 HORAS,
INSULINA A LOS 90 MIN,293.97,AYUNO DE 8 HORAS,
INSULINA BASAL,350.00,AYUNO DE 8 HORAS,
INSULINA POST - PRANDIAL,293.97,AYUNO DE 8 HORAS,
interpretación Angio Resonancia Magnética,0.00,,
interpretación Cardio Imagen,0.00,,
interpretación de angio TAC,0.00,,
Interpretacion de electrocardiograma,0.00,,
INTERPRETACION DE RADIOGRAFIA,0.00,INTERPRETACION DE RADIOGRAFIA,
INTERPRETACION DE RADIOGRAFIA -CONVENIO GRUPO SALINAS,0.00,INTERPRETACION DE RX- CONVENIO GRUPO SALINAS. ,
INTERPRETACION DE RADIOGRAFIAS,0.00,,
INTERPRETACION DE RADIOGRAFIAS URGENTE,0.00,,
INTERPRETACION DE RESONANCIA MAGNETICA ,0.00,,
INTERPRETACION DE RESONANCIA MAGNETICA  ESPECIALIDAD,0.00,,
INTERPRETACION DE RESONANCIA MAGNETICA URGENTE,0.00,,
interpretacion Densitometria,0.00,,
interpretación Fluroscopia,0.00,,
interpretación Mastografía,0.00,,
interpretación Radiografías,0.00,,
interpretación Resonancia Magnética,0.00,,
interpretación Tomografía,0.00,,
interpretación Ultrasonido,0.00,,
INTERPRETACIÓN URGENTE,236.21,,
INYECCION,50.00,,
ISOENZIMAS DE FOSFATASA ALCALINA,536.21,AYUNO DE 8 HRS A 12 HRS.,
ISOENZIMAS DE LDH,0.00,,
JUGO GÁSTRICO (QUIMISMO),0.00,,
LACTATO (ÁCIDO LÁCTICO),341.38,Ayuno no Indispensable,
LAMOTRIGINA,"3,809.00",,
LEPTINA,678.45,,
LEVETIRACETAM,"4,893.00",AYUNO DE 8 HORAS.  LA MUESTRA DEBE SER TOMADA ANTES DE LA SIGUIENTE DOSIS DEL MEDICAMENTO  Y TIENE QUE PROPORCIONAR FECHA Y HORA DE ÚLTIMA DOSIS Y DOSIS ADMINISTRADA ,
LINFOCITOS CD4 Y CD8 (INMUNODEFICIENCIA),0.00,,
LINFOCITOS INMUNORREGULADORES CON SUBPOB DE T Y B,"3,570.69",,
"LINFOCITOS T, B Y NK","3,570.69",,
LIPASA,223.28,AYUNO DE8 HRS A 12 HRS ,
LIPASA EN ORINA DE 24 HRS,187.93,RECOLECTAR MUESTRA A PARTIR DE LA 2DA ORINA HASTA LA 1RA DEL SIGUIENTE DIA. TRAER MUESTRA EN ENVASE DE AGUA.,
LÍPIDOS TOTALES,144.83,AYUNO DE 8 HORAS,
LIPOPROTEÍNA A,896.00,Ayuno de 8 a 12 horas,
LISIS DE EUGLOBULINAS,264.66,,
LITIO,223.28,AYUNO DE 8 HRS A 12 HRS,
MAGNESIO,0.00,,
MAGNESIO EN ORINA DE 24 HORAS,187.93,"Recolectar la orina de 24 horas en un envase limpio, estéril y seco (puede ocupar un recipiente que haya contenido agua). La orina se comienza a recolectar a partir de la segunda orina  de la mañana y termina con la primera orina del siguiente día. Toda la orina que haga durante las 24 horas tiene que ser recolectada en el envase",
MAGNESIO SÉRICO,118.10,,
MANGANESO EN ORINA,468.97,,
MAPA,"1,492.24",PREVIA CITA,
MASTOGRAFIA suc IMED,580.00,"1. Aseo del día\n2. Axilas afeitadas\n3. No aplicar crema, desodorante, talco, crema o aceites\n4. Si cuenta con estudios previos favor de presentarlos el día de su examen\n5. Si la paciente es menor de 40 años, deberá presentar receta médica para la realización del estudio\n6. Si tiene alguna discapacidad o dificultad de movimiento favor de avisar al agendar el estudio",
MATERIAL PARA COLOCACION DE SONDA ,0.00,MATERIAL PARA COLOCACION DE SONDA,
MATERIAL PARA CURACION DE CATETER,0.00,MATERIAL PARA CURACION DE CATETER,
MEDICIÓN DE MIEMBROS PÉLVICOS,814.66,"ACUDIR CON ROPA LISA CÓMODA, SIN NINGÚN TIPO DE METAL\nPREVIA CITA",
MÉDICO GENERAL,370.00,,
medico por llamado para  ultrasonido urgente ,"1,500.00",,
MERCURIO EN SANGRE,637.93,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
METAHEMOGLOBINA,574.14,Ayuno de 4 horas,
METANEFRINAS TOTALES EN ORINA 24 HORAS,834.48,RECOLECTAR MUESTRA A PARTIR DE LA 2DA ORINA HASTA LA 1RA DEL SIGUIENTE DIA. TRAER MUESTRA EN ENVASE DE AGUA.,
METANEFRINAS TOTALES EN PLASMA,834.48,AYUNO DE 8 HORAS,
METANFETAMINA,270.69,"RECOLECTAR UNA MUESTRA DE ORINA EN EL LABORATORIO,EN UN FRASCO QUE SE LES PROPORCIONARA ,EN EL MISMO LABORATORIO SE LE DARA LAS INSTRUCCIONES.\n",
METANOL EN SUERO,732.76,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
METOTREXATO,855.17,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
MICROALBUMINA EN ORINA OCASIONAL O DE 24 HRS.,329.31,RECOLECTAR MUESTRA A PARTIR DE LA 2DA ORINA HASTA LA 1RA DEL SIGUIENTE DIA. TRAER MUESTRA EN ENVASE DE AGUA.  \nQUE NO SEA EN ENVASE DE REFRESCO.,
MICROSCOPIA DIRECTA,0.00,No aplicar medicamentos en el área afectada.,
MIELOPEROXIDASA (MPO),"1,025.00","AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
MIOGLOBINA,257.76,,
MONOTEST (PAUL-BUNELL),329.31,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
N-TELOPEPTIDOS EN ORINA,"2,758.62","RECOLECTAR EN FRASCO LIMPIO Y ESTERIL UNA MUESTRA DE ORINA,EL FRASCO SE LO PUEDE PROPORCIONAR EL LABORATORIO O COMPRADO EN FARMACIA",
NEISSERIA GONORRHOEAE,"2,375.00",,
NICOTINA EN ORINA (COTININA),312.07,"TRAER  UNA MUESTRA DE ORINA O RECOLECTAR EN EL LABORATORIO, EN UN FRASCO ESTERIL QUE SE LE PROPORCIONARA EN EL LABORATORIO O  SE DEBERA COMPRAR EN LA FARMACIA .NO  DEBE DE PASAR MAS DE DOS HORAS DESDE LA RECOLECCION  HASTA TRAERLO AL LABORATORIO.\n*NO SE ACEPTAN ENVASES DE OTRO TIPO ,QUE NO SEA EL ADECUADO\n\n\n",
NITRÓGENO UREICO (BUN),179.00,\nAYUNO MÍNIMO DE 4 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.,
NITRÓGENO UREICO EN ORINA DE 24 HRS,118.10,RECOLECTAR MUESTRA A PARTIR DE LA 2DA ORINA HASTA LA 1RA DEL SIGUIENTE DIA. TRAER MUESTRA EN ENVASE DE AGUA.,
NIVELES DE TRACOLIMUS,998.28,,
NORADRENALINA EN ORINA 24 HRS,501.72,1. RECOLECTAR A PARTIR DE LA SEGUNDA ORINA DE LA MAÑANA TERMINANDO CON LA PRIMERA ORINA DEL DÍA SIGUIENTE.\n2. RECOLECTAR EN UN CONTENEDOR DE AGUA VACÍO Y SECO.\n3. CONSERVAR EL RECIPIENTE EN UN LUGAR FRESCO O REFRIGERAR\n,
NORADRENALINA EN PLASMA,501.72,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
NUCLEOTIDASA 5,256.03,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
OMEGA 3,925.00,,
OPIOIDES (HEROÍNA Y MORFINA),329.31,LAS INDICACIONES SE LE DARAN EN EL MOMENTO DE RECOLECTAR LA MUESTRA EN EL LABORATORIO.,
OSMORALIDAD EN ORINA,258.62,"TRAER UNA MUESTRA DE ORINA   O RECOLECTARLA  EN EL LABORATORIO EN UN FRASCO ESTERIL,QUE SE LE PROPORCIONARA EN EL LABORATORIO O SE DEBERA COMPRAR EN FARMACIA,NO DEBE PASAR MAS DE DOS HORAS DESDE LA RECOLECCION DE LA MUESTRA HASTA TRAERLA AL LABORATORIO.\n*NO SE ACEPTA OTRO TIPO DE FRASCO QUE NO SEA EL ADECUADO .",
OSMORALIDAD SERICA,258.62,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
OSTEOCALCINA,378.45,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
OTROS,0.00,,
OXALATOS EN ORINA DE 24HRS,346.55,RECOLECTAR MUESTRA A PARTIR DE LA 2DA ORINA HASTA LA 1RA DEL SIGUIENTE DIA. TRAER MUESTRA EN ENVASE DE AGUA.,
OXCARBAZEPINA (TRILEPTAL),0.00,,
p51 (POL),0.00,,
PANEL VIRAL DE HEPATITIS II,936.21,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
PAPANICOLAOU,0.00,"Abstinencia sexual de 3 días, no aplicación de óvulos ni cremas vaginales.\nDe preferencia acudir 10 días después de su menstruación.",
PAPANICOLAOU OMEDIC,309.00,"No estar en el período menstrual (regla). No haber tenido relaciones sexuales las 48 horas anteriores No haberse realizado duchas vaginales en el lapso de 48 horas antes. No haberse aplicado ningún tratamiento médico vaginal (óvulos o cremas), durante las últimas 48 horas",
PAPANICOLAOU suc IMED,400.00,"No estar en el período menstrual (regla).\nNo haber tenido relaciones sexuales las 48 horas anteriores\nNo haberse realizado duchas vaginales en el lapso de 48 horas antes.\nNo haberse aplicado ningún tratamiento médico vaginal (óvulos o cremas), durante las últimas 48 horas",
PCR BASAL CARGA VIRAL DE HEPATITIS C,"6,067.00",Ayuno no Indispensable,
PCR COVID-19,"1,649.00",SIN ASEO BUCAL,
PCR DETECCION DE MYCOBACTERIUM TUBERCULOSIS,"1,731.03",1. RECOLECTAR EXPECTORACIÓN/FLEMA EN UN FRASCO ESTÉRIL.\n,
PCR Detección Virus de Chikungunya,"1,762.93",,
PCR DETENCION DE HERPES SIMPLEX TIPO I Y II,"2,238.79",,
PCR GENOTIPO DEL VIRUS DE LA HEPATITIS C (HCV),"3,325.00",,
PCR PRUEBA DE EXCLUSIÓN DE PATERNIDAD (2 MUESTRAS),"4,829.00","AYUNO 8 HORAS, ACTA DE NACIMIENTO DEL HIJO, INE DE AMBOS PROGENITORES.",
PCR Virus Papiloma Humano 28 Genotipos,"3,662.93",,
PEPTIDO C,0.00,,
PÉPTIDO C,235.34,,
PEPTIDO NATRIURETICO CEREBRAL (BNP),"1,399.00",,
PERFIL CARDIACO,342.24,,
PERFIL DE DROGAS DE ABUSO EN SUERO,0.00,,
Perfil de hepatitis A+B+C,"1,704.31",Ayuno de 8 horas. Recolectar en tubo tapon dorado\n(gel separador).,
Perfil de Trombofilia,"8,123.00",15  DH para envío de resultados \n,
PERFIL TIROIDEO V,420.69,,
personal de llamado para ultrasonido urgente ,0.00,,
PLASMINOGENO (PLASMINOGENICO FUNCIONAL),378.45,AYUNO DE 8 HORAS,
PLOMO EN ORINA 24 DE HRS,556.03,RECOLECTAR MUESTRA A PARTIR DE LA 2DA ORINA HASTA LA 1RA DEL SIGUIENTE DIA. TRAER MUESTRA EN ENVASE DE AGUA.,
PLOMO EN SANGRE,450.00,,
PLOMO EN SANGRE,0.00,Sangre total/ EDTA (volumen mínimo 2 mL). Enviar en refrigeración o a temperatura ambiente (estabilidad 30 días).\n\n ,
PORFOBILINOGENO EN ORINA,278.45,RECOLECTAR ORINA DE 24 HRS. RECOLECTAR MUESTRA A PARTIR DE LA 2DA ORINA HASTA LA 1RA DEL SIGUIENTE DÍA. TRAER MUESTRA EN ENVASE DE AGUA.,
POTASIO,131.90,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
POTASIO EN ORINA 24 HORAS,131.00,"1. RECOLECTAR A PARTIR DE LA SEGUNDA ORINA DE LA MAÑANA TERMINANDO CON LA PRIMERA ORINA DEL DÍA SIGUIENTE.\n2. RECOLECTAR EN UN CONTENEDOR DE AGUA VACÍO Y SECO.\n3. CONSERVAR EL RECIPIENTE EN UN LUGAR FRESCO, NO REFRIGERAR.\n",
POTENCIALES EVOCADOS,"5,000.00",,
PREALBUMINA EN SUERO,413.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
PREGNANDIOL,0.00,,
PREVENTIX,"1,586.00",Ayuno 4 horas,
PRIMIDONA,650.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
PRO BNP,"1,957.00",AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
PROCALCITONINA,990.00,AYUNO DE 8 HRS A 12 HRS.,
PROGESTERONA SÉRICA,353.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
PROLACTINA SÉRICA,353.00,AYUNO DE 8 A 12 HORAS.\n,
PROMOCION COMPOSICION CORPORAL,99.00,,
"PROTEINA ""C"" REACTIVA",299.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
PROTEINA ¨C¨ DE LA COAGULACIÓN,512.93,AYUNO MIN DE 8 HRS A 12 HRS MAXIMO.,
PROTEÍNA A (PAPP-A),631.03,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
PROTEINA C REACTIVA ULTRA SENSIBLE,499.00,AYUNO DE 8 HORAS,
PROTEÍNA DE CRECIMIENTO PLACENTARIO,"2,110.34","AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
PROTEÍNA S DE LA COAGULACIÓN,835.34,,
Proteínas,129.31,,
PROTEÍNAS DE BENCE JONES,284.48,"1. RECOLECTAR A PARTIR DE LA SEGUNDA ORINA DE LA MAÑANA TERMINANDO CON LA PRIMERA ORINA DEL DÍA SIGUIENTE.\n2. RECOLECTAR EN UN CONTENEDOR DE AGUA VACÍO Y SECO.\n3. CONSERVAR EL RECIPIENTE EN UN LUGAR FRESCO, NO REFRIGERAR.",
PROTEÍNAS EN ORINA DE 24 HRS,152.59,"1. RECOLECTAR LA MUESTRA DE ORINA DE 24 HRS.\n2. RECOLECTAR LA ORINA EN UN FRASCO ESTÉRIL O BIEN EN UNA GARRAFA QUE HAYA CONTENIDO AGUA SIMPLE.\n3. PARA LA RECOLECCIÓN SE TENDRÁ QUE DESECHAR LA PRIMERA ORINA DEL DÍA Y EMPEZAR A RECOLECTAR DESDE LA SEGUNDA ORINA DEL DÍA, RECOLECTAR TODA LA ORINA QUE SE DESECHA HASTA LA PRIMERA ORINA DEL DÍA SIGUIENTE",
PROTEÍNAS SÉRICAS TOTALES,0.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR LA NOCHE ANTERIOR COMIDAS RICAS EN GRASAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.\n",
PROTEÍNAS TOTALES EN ORINA DE 24 HORAS,0.00,"RECOLECTAR ORINA DE 24 HRS ,EMPEZANDO DESDE LA 2 ORINA DE  LA MAÑANA HASTA LA PRIMERA DEL DIA SIGUIENTE( TODA LAS VECES QUE VAYA EL BAÑO SE TIENE QUE RECOLECTAR LA ORINA SIN OMITIR NINGUNA MICCION) RECOLECTARLA EN UN ENVASE PARA ORINA DE 24 HRS O EN UNA BOTELLA QUE CONTENGA AGUA SIMPLE. **NO SE ACEPTARA ENVASES DE REFRESCO NI NINGUN ENVASE O RECIPIENTE QUE CONTENGA AZUCARES .\n",
PROTEINAS TOTALES SERICAS,0.00,,
PROTEÍNASA 3 (PR3),821.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
PRUEBA ANTIGENO COVID (OT),0.00,PRUEBA ANTIGENO COVID 19 \nPROCESADA EN LABORATORIO\nHISOPADO- NASOFARINGEO,
PRUEBA COVID (NISSAN),0.00,,
PRUEBA DE PATERNIDAD,0.00,,
PRUEBA INMUNOLÓGICA DE EMBARAZO,299.00,AYUNO MINIMO DE 8 HRS\n,
PRUEBA INMUNOLÓGICA DE EMBARAZO EN ORINA,164.00,"ORINA AL AZAR EN UN FRASCO ESTERIL,YA SEA COMPRADO EN FARMACIA O PROPORCIONADO EN EL LABORATORIO. NO ESTAR BAJO TRATAMIENTO MÉDICO CON ANTIBIÓTICO",
PRUEBA PERFIL OMEGA 3,"2,022.00",,
PRUEBA RAPIDA ANTIGENO COVID CASSET,299.00,Prueba Rapida Antigeno Covid Casset,
PRUEBA RÁPIDA COVID SALIVA,599.00,"No coma, beba, fume, no se cepille los dientes, ni mastique chicle 2 horas antes de la toma de la muestra",
PRUEBA RÁPIDA DE INFLUENZA,632.00,NO TOMAR ANTIVIRALES 48 HORAS ANTES,
PRUEBA RAPIDA INFLUENZA TIPO A Y B (OT),0.00,Prueba Influenza Tipo A y B (OT)\n,
PRUEBAS DE COMPATIBILIDAD,318.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
QS3 GUC,183.00,AYUNO MINIMO DE 8 HRS MAX DE 12 HRS,
QUANTOSE RI,"4,499.00","Tipo de muestra: Plasma/EDTA 2 mL y refrigerado de 4-8ºC. No hemolisis, no lipemia. Centrifugar dentro de la primera hora de la toma de 800 a 1600 rpm durante 20 min a temperatura ambiente. Trasvasar dos alícuotas de 2 mL de plasma a tubos de polipropileno. Indicar peso y talla.\n\n ",
QUÍMICA SANGUÍNEA 18 ELEMENTOS,0.00,2.0 ml suero refrigerado.\nAyuno de 8 horas. Recolectar en tubo tapon dorado \n(gel separador).\n1 Dia.,
QUIMICA SANGUINEA DE 35 ELEENTOS (OT),0.00,Quimica Sanguinea de 35 Elementos \nTipo de muestra: Suero 3 mL. Ayuno de 12 hrs.\n,
RADIOGRAFIA 1 PROYECCION,0.00,,
RADIOGRAFIA 1 PROYECCION,0.00,,
RADIOGRAFIA 1 PROYECCION AM,0.00,,
RADIOGRAFIA 1 PROYECCION CONVENIO GRUPO SALINAS,0.00,1 PROYECCION RX- CONVENIO GRUPO SALINAS,
RADIOGRAFIA 2 ADICIONAL,0.00,RADIOGRAFIA 2 PROYECCION ADICIONAL,
RADIOGRAFIA 2 ADICIONAL,0.00,,
RADIOGRAFIA 2 PROYECCION AM,0.00,,
RADIOGRAFIA 4 PROYECCION AM,0.00,,
RADIOGRAFIA 6 PROYECCION AM,0.00,,
RADIOGRAFIA A DOMICILIO PARTICULARES - 1 adicional,0.00,,
RADIOGRAFIA A DOMICILIO PARTICULARES - 1 proyección,0.00,,
RADIOGRAFIA A DOMICILIO PARTICULARES - 1 proyección,0.00,,
RADIOGRAFÍA DE PROMOCIÓN 1P,250.00,,
RADIOGRAFIA RODILLA ,483.00,,
RADIOLOGÍA (CONVENIO ZENELIA SANTIBAÑEZ GUERRERO) TÓRAX,0.00,,
REACCIONES FEBRILES,200.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO DE 12,
REAGINAS PLASMATICAS RAPIDAS (RPR),243.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
RECIPIENTE EN ORINA DE 24 HORAS ,100.00,-Recipiente en Orina de 24 hrs,
RECOLECCIÓN DE ORINA,0.00,,
RELACIÓN ALBUMINA / CREATININA EN ORINA,129.00,20 ml orina ocasional o 20 ml orina de 24 horas\n\n,
RELACIÓN ALBÚMINA /GLOBULINA,0.00,"AYUNO DE 8 A 12 HORAS. EVITAR LA NOCHE ANTERIOR LA INGESTA DE ALIMENTOS RICOS EN GRASA. EVITAR REALIZAR EJERCICIO FÍSICO. EVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA. ",
RENINA,387.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
Renta de equipo de Ultrasonido,0.00,,
Renta de Equipo de Ultrasonido 8 hrs,0.00,,
Renta de equipo Rx con Técnico,0.00,Renta de equipo de Rx con Técnico Incluido. ,
Renta de Equipo Rx por Hora,0.00,Renta de Equipo Rx por Hora,
Renta de Equipo Rx por Hora 2,0.00,RENTA DE EQUIPO RX POR SEGUNDA HORA ,
Renta de Equipo Rx por Horas,0.00,,
RENTA DE EQUIPO USG,0.00,,
RENTA DE EQUIPO USG PUNTO PEN,0.00,,
reporte en Ingles,0.00,,
RESISTENCIA A LA INSULINA (HOMA-IR),295.00,AYUNO DE 8 HORAS,
RESISTENCIA A LA INSULINA (HOMA-IR),310.00,,
RESONANCIA MAGNETICA CON CONTRASTE ,"5,699.00",,
RESONANCIA MAGNETICA SIMPLE,"3,800.00",,
RESULTADO URGENTE,258.00,,
RETICULOCITOS,118.00,**Ayuno no indispensable,
RETIRO DE PUNTOS,350.00,,
ROSA DE BENGALA (ANTICUERPOS ANTI-BRUCELLA),306.00,AYUNO DE 8 HORAS,
ROTAVIRUS,0.00,"Recolectar muestra de heces, del tamaño de un nuez en un frasco estéril.",
RX 1 CONVENIO DIAGNOSTICO MOVIL,0.00,,
RX 1 CONVENIO HEMOADVANCE,0.00,,
